Placing;Card;Qtty
1;Bloodchief's Thirst;3
1;Spikefield Hazard;2
1;Shatterskull Smashing;3
1;Heartless Act;2
1;Shredded Sails;1
1;Mire Triton;4
1;Kroxa, Titan of Death's Hunger;4
1;Magmatic Channeler;4
1;Tymaret Calls the Dead;4
1;Agadeem's Awakening;1
1;Bonecrusher Giant;4
1;Murderous Rider;2
1;Liliana, Waker of the Dead;1
1;Hagra Mauling;2
1;Rankle, Master of Pranks;2
1;Terror of the Peaks;2
1;Castle Locthwain;1
1;Fabled Passage;4
1;Mountain;4
1;Swamp;6
1;Temple of Malice;4
2;Venerable Knight;4
2;Giant Killer;3
2;Selfless Savior;3
2;Kabira Takedown;1
2;Glass Casket;3
2;Seasoned Hallowblade;4
2;Luminarch Aspirant;4
2;Shepherd of the Flock;2
2;Skyclave Apparition;4
2;Archon of Emeria;2
2;Maul of the Skyclaves;4
2;Legion Angel;2
2;Makindi Stampede;1
2;Emeria's Call;2
2;Castle Ardenvale;3
2;Plains;18
3;Spikefield Hazard;1
3;Flourishing Fox;4
3;Footfall Crater;4
3;Go for Blood;4
3;Shatterskull Smashing;1
3;Startling Development;4
3;Sejiri Shelter;1
3;Shredded Sails;1
3;Drannith Healer;4
3;Valiant Rescuer;4
3;Drannith Stinger;4
3;Memory Leak;4
3;Zenith Flare;4
3;Frostveil Ambush;2
3;Boon of the Wish-Giver;3
3;Brightclimb Pathway;4
3;Needleverge Pathway;4
3;Plains;3
3;Riverglide Pathway;4
4;Spikefield Hazard;1
4;Edgewall Innkeeper;2
4;Giant Killer;1
4;Lucky Clover;4
4;Fae of Wishes;4
4;Bonecrusher Giant;4
4;Brazen Borrower;3
4;Felidar Retreat;2
4;Omnath, Locus of Creation;4
4;Escape to the Wilds;3
4;Beanstalk Giant;4
4;Branchloft Pathway;3
4;Cragcrown Pathway;4
4;Fabled Passage;4
4;Forest;3
4;Island;5
4;Ketria Triome;2
4;Mountain;2
4;Plains;1
4;Raugrin Triome;3
4;Riverglide Pathway;1
5;Stonecoil Serpent;4
5;Primal Might;2
5;Swarm Shambler;4
5;Ram Through;4
5;Scavenging Ooze;4
5;Lotus Cobra;4
5;Lovestruck Beast;4
5;Oran-Rief Ooze;4
5;Yorvo, Lord of Garenbrig;2
5;Gemrazer;4
5;The Great Henge;2
5;Castle Garenbrig;2
5;Forest;20
6;Giant Killer;2
6;Edgewall Innkeeper;4
6;Lotus Cobra;2
6;Fae of Wishes;4
6;Lucky Clover;4
6;Brazen Borrower;2
6;Bonecrusher Giant;4
6;Omnath, Locus of Creation;4
6;Escape to the Wilds;3
6;Beanstalk Giant;4
6;Branchloft Pathway;4
6;Cragcrown Pathway;4
6;Fabled Passage;4
6;Forest;3
6;Island;5
6;Ketria Triome;2
6;Mountain;2
6;Plains;1
6;Raugrin Triome;2
7;Bloodchief's Thirst;2
7;Spikefield Hazard;2
7;Shatterskull Smashing;3
7;Heartless Act;2
7;Shredded Sails;1
7;Magmatic Channeler;4
7;Kroxa, Titan of Death's Hunger;4
7;Mire Triton;4
7;Tymaret Calls the Dead;4
7;Agadeem's Awakening;1
7;Bonecrusher Giant;4
7;Hagra Mauling;2
7;Rankle, Master of Pranks;3
7;Ox of Agonas;2
7;Terror of the Peaks;2
7;Castle Locthwain;1
7;Fabled Passage;4
7;Mountain;5
7;Swamp;6
7;Temple of Malice;4
8;Bloodchief's Thirst;2
8;Cling to Dust;1
8;Frantic Inventory;4
8;Heartless Act;3
8;Essence Scatter;3
8;Negate;3
8;Mazemind Tome;4
8;Neutralize;4
8;Silundi Vision;3
8;Mystical Dispute;2
8;Extinction Event;2
8;Hagra Mauling;2
8;Ashiok, Nightmare Muse;2
8;Shark Typhoon;3
8;Sea Gate Restoration;1
8;Castle Locthwain;1
8;Castle Vantress;1
8;Clearwater Pathway;4
8;Crawling Barrens;2
8;Island;5
8;Swamp;4
8;Zagoth Triome;4
